GeneID	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25
A1BG	0.9088444428	1.0440568278	1.9429425765	1.6919466014	1.3223041555	1.6207112917	1.6079652172	2.0989833578	2.060082133	1.8374753823	1.5023723603	4.623528061	2.2838465996	3.9227525101	1.5466256935	2.5575488395	1.9546674907	2.8566892033	3.2454140877	1.9110906302	2.7204394738	1.9957368835	2.7518352256	2.0161372326	3.3453358912	3.4487983041	4.5403913557	1.1639778966	2.1003730505	2.5709495388	1.6505682845	2.3062226235	2.5392232974	3.8490833025	2.6061948389
A2M	7.5292075731	8.4440795989	4.8115520054	5.5588938502	9.2083962791	7.381789552	6.1960732756	6.2316547062	5.4059958549	6.3008559044	10.1780295761	8.834743151	8.5904373273	7.7555310943	10.0680614755	9.49771779	9.7185382918	9.5662277278	8.0136125957	9.7232473794	7.7929641373	9.0306191977	10.0500801327	9.0336022189	8.9720795843	6.9572101566	7.1950538812	8.0873054408	9.5316290426	8.7218253823	9.2143590837	8.725242706	9.2279368563	8.5360791675	9.8228155201
A2M-AS1	1.8128147428	2.1555807226	0.8781613889	0.5334279137	3.5040290228	2.219250815	0.3930731407	0.2687044668	-0.3668567198	0.40093457	5.2132675943	5.6054242858	3.8009205684	4.653455482	4.4668242104	3.787832112	3.9920685398	3.7202613386	3.5424488876	3.8566091556	1.9900000869	3.4726302246	4.4607385806	3.4639970923	4.7565569459	2.5028257187	3.4058602463	4.4197411315	4.3715830894	3.888104091	4.2996456961	3.5671174571	4.0950126748	4.2671750192	4.9085402708
A4GALT	3.8170498477	3.3397366687	3.4658440275	3.958469338	4.5814923091	4.9216217568	4.0461594165	4.5540675043	4.523700933	5.0853703744	2.9409282524	3.3220553005	1.841468222	2.347380995	3.8412290287	2.5693423082	2.92472126	2.0211673715	1.9069304285	1.7769765161	3.1684661286	2.9946380502	3.0003392515	1.6625536575	2.3301329054	3.1967324558	1.7350342117	2.2865930892	2.6115912485	3.1889770328	1.8192906581	2.5500700506	4.1414912009	2.1736236618	0.6418058953
AADAT	1.1605051946	1.6181405332	-0.6115371962	1.398571312	0.8001304711	1.4456617838	0.0100725718	1.2147398643	1.0486984186	2.2189392855	3.3457319315	1.347459638	3.114666778	2.7234076509	2.3322804547	2.3544292804	3.2910247276	2.6372302943	0.4234476457	3.5574833463	1.908495178	2.891625981	3.3907992109	3.6165677806	2.9003439833	0.0002048032	3.3887954415	2.432889729	4.1737574532	0.5123929762	1.7925052035	1.4567292524	2.4624400318	3.3797602061	1.8243915973
AAMDC	2.9167591003	2.4161050335	4.1941319183	1.9356269482	2.8903245354	2.4912976358	2.2110601447	1.6099130854	1.9284234096	1.9084744057	3.8448941951	4.8019796488	4.3294040692	3.7053576721	4.2018189939	3.2496264516	3.3869037412	3.2692774015	3.2958288339	3.3128629417	3.3399253249	3.1365539965	3.1548217141	3.4408219107	4.2506715407	4.3912297031	3.3773057244	4.7395390989	3.2198406537	3.5601702919	2.9779269607	2.9264276377	3.8019127885	6.1285150812	3.4978590884
AARD	3.8984271878	3.2016985307	2.6820759572	4.1116214801	3.107766059	2.4101699948	2.3475029919	1.4964027272	3.7511338916	2.8972061053	2.5865363923	2.8290588491	2.7405686086	2.3257404569	3.7754944351	1.9476865777	1.5807556418	6.6739363759	6.7899953477	3.818709989	5.488841052	5.0534916704	6.5238722431	3.4053457975	3.662900669	4.1188513311	2.8212634579	5.3084472274	1.8580150515	7.0357097357	3.1247345834	2.4732776565	4.0507383812	4.9143225176	3.1198448155
AKAP5	8.4258385531	8.3683761873	8.1569562093	8.1988070021	8.5469815833	8.4296194624	8.4737631591	8.0876400623	7.7329325746	7.9227498166	6.8365603698	6.2834879545	6.7493321655	6.3466914202	6.6264388673	6.3701394256	6.9341554573	6.8543615671	5.8519818616	6.907729157	7.1528865	6.3764541756	6.4018789833	7.1231108322	6.5210033455	5.7388630047	6.298094257	7.1490440231	7.4538230881	5.4591046033	7.1687241389	7.0201053026	6.9476735164	6.0832955095	6.9283300055
ABAT	3.0020772971	3.5560414149	4.1654588637	3.3795692339	4.0231727407	3.6859656946	3.6946667803	4.5540675043	3.879480474	3.7792086996	3.5602236955	4.395999747	4.6823810127	4.6792825673	4.3865374023	5.8441426702	3.7816614764	3.7072932123	7.1872044111	3.8566091556	6.1489113743	5.267127456	3.3720184409	4.5175565943	5.2311781216	6.7312444826	5.626465063	4.5387153483	6.4321063601	6.8825883302	5.8992361717	7.838206529	6.960194575	4.6795667852	3.5475967594
